time,S,I
1,34892120,25789
2,34880456,11664
3,34874692,5764
4,34869749,4943
5,34866268,3481
6,34859601,6667
7,34852722,6879
8,34846186,6536
9,34839285,6901
10,34832915,6370
11,34829484,3431
12,34826737,2747
13,34822405,4332
14,34819383,3022
15,34813271,6112
16,34807413,5858
17,34801579,5834
18,34797592,3987
19,34795336,2256
20,34789216,6120
21,34783987,5229
22,34778843,5144
23,34773712,5131
24,34768949,4763
25,34766710,2239
26,34764979,1731
27,34760537,4442
28,34756316,4221
29,34752461,3855
30,34748831,3630
31,34745425,3406
32,34743898,1527
33,34742662,1236
34,34740027,2635
35,34737502,2525
36,34734944,2558
37,34732863,2081
38,34729948,2915
39,34728763,1185
40,34728006,757
41,34725907,2099
42,34723746,2161
43,34721520,2226
44,34719495,2025
45,34717278,2217
46,34717011,267
47,34716594,417
48,34714459,2135
49,34712854,1605
50,34711279,1575
51,34710145,1134
52,34709271,874
53,34708884,387
54,34708580,304
55,34707498,1082
56,34706354,1144
57,34705333,1021
58,34704520,813
59,34703752,768
60,34703451,301
61,34703227,224
62,34702572,655
63,34701760,812
64,34700705,1055
65,34700025,680
66,34699373,652
67,34699074,299
68,34698874,200
69,34698874,
70,34698874,
71,34698874,
72,34698874,
73,34698874,
74,34698874,
75,34695284,3590
76,34695284,
77,34695284,
78,34695284,
79,34695284,
80,34695284,
81,34695284,
82,34692443,2841
83,34692443,
84,34692443,
85,34692443,
86,34692443,
87,34692443,
88,34692443,
89,34690311,2132
90,34690311,
91,34690311,
92,34690311,
93,34690311,
94,34690311,
95,34690311,
96,34688415,1896
97,34688415,
98,34688415,
99,34688415,
100,34688415,
101,34688415,
102,34688415,
103,34686815,1600
104,34686815,
105,34686815,
106,34686815,
107,34686815,
108,34686815,
109,34686815,
110,34685750,1065
111,34685750,
112,34685750,
113,34685750,
114,34685750,
115,34685750,
116,34685750,
117,34684706,1044
118,34684706,
119,34684706,
120,34684706,
121,34684706,
122,34684706,
123,34684706,
124,34683725,981
125,34683725,
126,34683725,
127,34683725,
128,34683725,
129,34683725,
130,34683725,
131,34682619,1106
132,34682619,
133,34682619,
134,34682619,
135,34682619,
136,34682619,
137,34682619,
138,34681563,1056
139,34681563,
140,34681563,
141,34681563,
142,34681563,
143,34681563,
144,34681563,
145,34680132,1431
146,34680132,
147,34680132,
148,34680132,
149,34680132,
150,34680132,
151,34680132,
152,34678034,2098
153,34678034,
154,34678034,
155,34678034,
156,34678034,
157,34678034,
158,34678034,
159,34675248,2786
160,34675248,
161,34675248,
162,34675248,
163,34675248,
164,34675248,
165,34675248,
166,34671355,3893
167,34671355,
168,34671355,
169,34671355,
170,34671355,
171,34671355,
172,34671355,
173,34665916,5439
174,34665916,
175,34665916,
176,34665916,
177,34665916,
178,34665916,
179,34665916,
180,34656803,9113
181,34656803,
182,34656803,
183,34656803,
184,34656803,
185,34656803,
186,34656803,
187,34645366,11437
188,34645366,
189,34645366,
190,34645366,
191,34645366,
192,34645366,
193,34645366,
194,34629211,16155
195,34629211,
196,34629211,
197,34629211,
198,34629211,
199,34629211,
200,34629211,
201,34605347,23864
202,34605347,
203,34605347,
204,34605347,
205,34605347,
206,34605347,
207,34605347,
208,34568664,36683
209,34568664,
210,34568664,
211,34568664,
212,34568664,
213,34568664,
214,34568664,
215,34568664,
216,34524527,44137
217,34524527,
218,34524527,
219,34524527,
220,34524527,
221,34524527,
222,34524527,
223,34481725,42802
224,34481725,
225,34481725,
226,34481725,
227,34481725,
228,34481725,
229,34481725,
230,34445312,36413
231,34445312,
232,34445312,
233,34445312,
234,34445312,
235,34445312,
236,34445312,
237,34422398,22914
238,34422398,
239,34422398,
240,34422398,
241,34422398,
242,34422398,
243,34422398,
244,34405490,16908
245,34405490,
246,34405490,
247,34405490,
248,34405490,
249,34405490,
250,34405490,
251,34389112,16378
252,34389112,
253,34389112,
254,34389112,
255,34389112,
256,34389112,
257,34389112,
258,34379525,9587
259,34379525,
260,34379525,
261,34379525,
262,34379525,
263,34379525,
264,34379525,
265,34372208,7317
266,34372208,
267,34372208,
268,34372208,
269,34372208,
270,34372208,
271,34372208,
272,34365451,6757
273,34365451,
274,34365451,
275,34365451,
276,34365451,
277,34365451,
278,34365451,
279,34360460,4991
280,34360460,
281,34360460,
282,34360460,
283,34360460,
284,34360460,
285,34360460,
286,34355650,4810
287,34355650,
288,34355650,
289,34355650,
290,34355650,
291,34355650,
292,34355650,
293,34351364,4286
294,34351364,
295,34351364,
296,34351364,
297,34351364,
298,34351364,
299,34351364,
300,34347006,4358
301,34347006,
302,34347006,
303,34347006,
304,34347006,
305,34347006,
306,34347006,
307,34343803,3203
308,34343803,
309,34343803,
310,34343803,
311,34343803,
312,34343803,
313,34343803,
314,34340392,3411
315,34340392,
316,34340392,
317,34340392,
318,34340392,
319,34340392,
320,34340392,
321,34337422,2970
322,34337422,
323,34337422,
324,34337422,
325,34337422,
326,34337422,
327,34337422,
328,34334712,2710
329,34334712,
330,34334712,
331,34334712,
332,34334712,
333,34334712,
334,34334712,
335,34331613,3099
336,34331613,
337,34331613,
338,34331613,
339,34331613,
340,34331613,
341,34331613,
342,34328640,2973
343,34328640,
344,34328640,
345,34328640,
346,34328640,
347,34328640,
348,34328640,
349,34324932,3708
350,34324932,
351,34324932,
352,34324932,
353,34324932,
354,34324932,
355,34324932,
356,34319649,5283
357,34319649,
358,34319649,
359,34319649,
360,34319649,
361,34319649,
362,34319649,
363,34312305,7344
364,34312305,
365,34312305,
